enfermedad,accion
gripe,"Realizar un test rápido de influenza."
dengue,"Solicitar un análisis de sangre para verificar el recuento de plaquetas."
resfriado,"Realizar un examen físico para descartar infecciones bacterianas."
covid19,"Hacer una prueba PCR o de antígenos para COVID-19."
alergia,"Hacer pruebas de alergia específicas."
migraña,"Consultar a un neurólogo para una evaluación exhaustiva."
sinusitis,"Realizar una tomografía computarizada de senos paranasales."
apendicitis,"Solicitar una ecografía o tomografía abdominal."
asma,"Hacer pruebas de función pulmonar."
neumonía,"Realizar una radiografía de tórax."
gastroenteritis,"Consultar sobre el historial alimenticio y realizar análisis de heces."
insuficiencia_renal,"Realizar análisis de sangre y orina para evaluar la función renal."
diabetes,"Solicitar un examen de glucosa en sangre."
hipertensión,"Hacer un monitoreo de presión arterial durante varias visitas."
artritis,"Realizar radiografías o análisis de sangre para marcadores de inflamación."
cálculos_renales,"Solicitar una tomografía abdominal o ecografía."
dermatitis,"Consultar a un dermatólogo para pruebas específicas."
gripe_aviaria,"Hacer pruebas específicas para virus aviares."
meningitis,"Realizar una punción lumbar para análisis del líquido cefalorraquídeo."
tuberculosis,"Solicitar una prueba de tuberculina o una radiografía de tórax."
hepatitis,"Realizar análisis de sangre para marcadores virales."
viruela,"Consultar a un médico especialista en enfermedades infecciosas."
anemia,"Realizar un hemograma completo para verificar los niveles de hemoglobina y ferritina."
esclerosis_multiple,"Solicitar una resonancia magnética del cerebro y médula espinal."
fibromialgia,"Hacer un examen físico detallado para descartar otras causas del dolor."
celiaquia,"Realizar análisis de anticuerpos específicos y biopsia intestinal si es necesario."
hipotiroidismo,"Solicitar análisis de sangre para medir los niveles de TSH y T4."
hipertiroidismo,"Realizar análisis de TSH, T3 y T4, y una gammagrafía tiroidea si es necesario."
lupus,"Hacer análisis de ANA (anticuerpos antinucleares) y otros marcadores inmunológicos."
endometriosis,"Solicitar una ecografía pélvica o una laparoscopia para diagnóstico definitivo."
sindrome_de_fatiga_cronica,"Realizar análisis de sangre para descartar causas metabólicas o infecciosas."
epoc,"Hacer pruebas de función pulmonar y radiografía de tórax."
sindrome_del_intestino_irritable,"Realizar una colonoscopia o análisis de heces para descartar infecciones."
celulitis_bacteriana,"Tomar un cultivo de la zona afectada para confirmar la infección bacteriana."
hemochromatosis,"Solicitar análisis de ferritina y saturación de transferrina."
sifilis,"Realizar pruebas serológicas (VDRL o RPR) y confirmar con FTA-ABS."
