Enfermedad,Descripcion
migraña,"La migraña es un tipo de dolor de cabeza recurrente, generalmente en un lado de la cabeza, acompañado de síntomas como náuseas, vómitos, y sensibilidad a la luz y al sonido. A menudo es debilitante y puede durar desde horas hasta días."
covid19,"El COVID-19 es una enfermedad respiratoria causada por el virus SARS-CoV-2, que puede causar síntomas que van desde leves hasta graves. Los síntomas comunes incluyen fiebre, tos seca, dificultad respiratoria, pérdida del gusto y del olfato, entre otros. En casos graves, puede causar neumonía y daño pulmonar."
gripe,"La gripe es una infección respiratoria aguda causada por el virus de la influenza. Sus síntomas incluyen fiebre alta, dolores musculares, congestión nasal, dolor de garganta, tos, y fatiga. Puede ser grave, especialmente en personas mayores o con enfermedades crónicas."
dengue,"El dengue es una enfermedad viral transmitida por mosquitos, que causa fiebre alta, dolor de articulaciones severo, erupción cutánea y fatiga extrema. En casos graves, puede evolucionar hacia dengue hemorrágico o síndrome de shock, lo cual requiere atención médica urgente."
resfriado,"El resfriado común es una infección viral del tracto respiratorio superior. Sus síntomas incluyen congestión nasal, estornudos y tos leve. Generalmente es menos grave que la gripe y suele resolverse por sí solo en pocos días."
alergia,"Las alergias son reacciones del sistema inmunológico a sustancias inofensivas como polen, polvo o alimentos. Los síntomas comunes incluyen estornudos, picazón en los ojos, congestión nasal, y en algunos casos, urticaria o dificultad respiratoria."
sinusitis,"La sinusitis es una inflamación de los senos paranasales, generalmente debido a una infección viral o bacteriana. Los síntomas incluyen dolor frontal, congestión nasal, dolor facial, fiebre leve y secreción nasal espesa."
apendicitis,"La apendicitis es la inflamación del apéndice, una pequeña bolsa en el abdomen. El síntoma principal es el dolor abdominal, generalmente en la parte inferior derecha del abdomen, que puede ir acompañado de fiebre, náuseas y vómitos."
asma,"El asma es una afección crónica de las vías respiratorias que causa dificultad para respirar debido a la inflamación y el estrechamiento de los bronquios. Los síntomas incluyen dificultad para respirar, silbidos al respirar, tos y dolor en el pecho."
neumonía,"La neumonía es una infección que inflama los pulmones. Los síntomas incluyen fiebre alta, tos con flema, dificultad respiratoria y dolor en el pecho. Puede ser causada por bacterias, virus o hongos y requiere tratamiento médico urgente."
gastroenteritis,"La gastroenteritis es la inflamación del tracto gastrointestinal, generalmente causada por una infección viral o bacteriana. Los síntomas incluyen diarrea, náuseas, vómitos y dolor abdominal."
insuficiencia renal,"La insuficiencia renal ocurre cuando los riñones no pueden filtrar los desechos del cuerpo de manera eficiente. Los síntomas incluyen orina espumosa, hinchazón en las piernas y fatiga extrema."
diabetes,"La diabetes es una enfermedad metabólica caracterizada por niveles altos de glucosa en sangre. Los síntomas incluyen sed excesiva, pérdida de peso inexplicable, visión borrosa, y heridas que tardan en cicatrizar."
hipertensión,"La hipertensión es una condición en la que la presión arterial está constantemente alta. Puede no presentar síntomas, pero puede causar dolores de cabeza persistentes, hemorragias nasales, mareos y otros problemas de salud graves."
artritis,"La artritis es una inflamación de las articulaciones que causa dolor, rigidez y hinchazón. Los síntomas incluyen dolor articular crónico, rigidez matutina y limitación de movimiento."
cálculos renales,"Los cálculos renales son piedras formadas en los riñones que pueden causar dolor intenso, generalmente en la zona lumbar. Otros síntomas incluyen orina oscura, náuseas y vómitos."
dermatitis,"La dermatitis es una inflamación de la piel que puede causar enrojecimiento, picazón intensa y erupciones. Puede ser causada por alergias, irritantes o infecciones."
gripe aviar,"La gripe aviar es una enfermedad viral que afecta principalmente a las aves, pero puede transmitirse a los humanos. Sus síntomas incluyen fiebre alta, dolor muscular, dificultad respiratoria y tos seca."
meningitis,"La meningitis es la inflamación de las membranas que rodean el cerebro y la médula espinal. Los síntomas incluyen fiebre, rigidez en el cuello, dolor de cabeza severo, náuseas, vómitos y sensibilidad a la luz."
tuberculosis,"La tuberculosis es una infección bacteriana que afecta principalmente los pulmones. Los síntomas incluyen tos crónica con sangre, pérdida de peso, sudores nocturnos y fatiga extrema."
hepatitis,"La hepatitis es la inflamación del hígado, generalmente causada por infecciones virales. Sus síntomas incluyen ictericia, dolor abdominal superior derecho, fatiga crónica, y orina oscura."
viruela,"La viruela es una enfermedad viral altamente contagiosa, erradicada en la actualidad, que causa fiebre alta, erupción cutánea y malestar general. En casos graves, puede causar cicatrices y daño a órganos internos."
anemia,"La anemia es una afección en la que el cuerpo no tiene suficientes glóbulos rojos saludables para transportar oxígeno. Los síntomas incluyen palidez, fatiga, dificultad para concentrarse y dolor de cabeza frecuente."
esclerosis múltiple,"La esclerosis múltiple es una enfermedad autoinmune que afecta al sistema nervioso central, provocando debilidad muscular, dificultad para caminar, visión borrosa, entumecimiento y pérdida del equilibrio."
