enfermedad,tratamiento
gripe,"Descanso, hidratación, analgésicos para el dolor y la fiebre"
dengue,"Reposo, hidratación constante, paracetamol, evitar aspirina"
resfriado,"Descanso, líquidos, descongestionantes y analgésicos"
covid19,"Aislamiento, descanso, hidratación, monitoreo de síntomas"
alergia,"Antihistamínicos, evitar alérgenos, uso de gotas oculares y nasales"
migraña,"Analgésicos, descanso en un lugar oscuro, medicamentos específicos para migraña"
sinusitis,"Analgésicos, descongestionantes, irrigación nasal con solución salina"
apendicitis,"Cirugía de emergencia (apendicectomía)"
asma,"Uso de inhaladores (broncodilatadores), evitar desencadenantes, seguimiento médico"
neumonía,"Antibióticos (si es bacteriana), descanso, líquidos, y seguimiento médico"
gastroenteritis,"Reposo, hidratación, y evitar alimentos irritantes"
insuficiencia_renal,"Dieta baja en sodio, diálisis en casos graves, seguimiento médico"
diabetes,"Control de glucosa, dieta equilibrada, ejercicio y medicación (insulina o antidiabéticos)"
hipertensión,"Dieta baja en sal, ejercicio regular, medicación antihipertensiva"
artritis,"Analgésicos, fisioterapia, medicamentos antiinflamatorios"
cálculos_renales,"Hidratación, analgésicos, posible intervención quirúrgica si son grandes"
dermatitis,"Cremas hidratantes, corticoides tópicos, evitar alérgenos"
gripe_aviaria,"Hospitalización, antivirales, soporte respiratorio en casos graves"
meningitis,"Antibióticos o antivirales según el caso, hospitalización y seguimiento"
tuberculosis,"Antibióticos (terapia prolongada), seguimiento médico"
hepatitis,"Reposo, dieta equilibrada, y evitar alcohol"
viruela,"Tratamiento de soporte, aislamiento, antivirales en casos graves"
anemia,"Suplementos de hierro, dieta rica en hierro y vitamina C, seguimiento médico"
esclerosis_multiple,"Fisioterapia, medicamentos inmunomoduladores, y manejo de síntomas"
fibromialgia,"Analgesia, terapia cognitivo-conductual, ejercicio moderado, y relajantes musculares"
celiaquia,"Dieta estricta sin gluten de por vida"
hipotiroidismo,"Terapia de reemplazo con hormona tiroidea (levotiroxina)"
hipertiroidismo,"Medicamentos antitiroideos, yodo radiactivo o cirugía en casos graves"
lupus,"Medicamentos inmunosupresores, antiinflamatorios, y manejo de síntomas específicos"
endometriosis,"Analgésicos, terapia hormonal, cirugía en casos severos"
sindrome_de_fatiga_cronica,"Terapia cognitivo-conductual, ejercicio gradual, y manejo de síntomas"
epoc,"Broncodilatadores, corticosteroides, oxigenoterapia, y evitar el tabaco"
sindrome_del_intestino_irritable,"Dieta específica según síntomas, probióticos, antiespasmódicos"
celulitis_bacteriana,"Antibióticos orales o intravenosos, descanso y elevación de la zona afectada"
hemochromatosis,"Flebotomía regular (extracción de sangre), dieta baja en hierro"
sifilis,"Antibióticos (generalmente penicilina), seguimiento médico para evitar complicaciones"
